text1,text2,ZS response,final_val
More than 800 million people worldwide do not have enough to eat. Livestock grain could feed them all if used for human consumption instead.,86% of livestock feed is inedible for humans (p. 1). Animals are therefore helping humans recycle crop co-products and food waste (p. 10).,Divergent,Divergent
Feeding livestock low-quality feed grains may result in malnutrition.,Food grown for humans that does not meet food standards (such as those imposed by the USDA) is usually discarded. A sensible alternative would be to repurpose this discarded food as animal feed.,Not Divergent,Not Divergent
Inedible or spoiled plant co-products could be utilised as fertilizers in place of manure or chemicals instead of being consumed by animals.,Food grown for humans that does not meet food standards (such as those imposed by the USDA) is usually discarded. A sensible alternative would be to repurpose this discarded food as animal feed.,Not Divergent,Not Divergent
Future technologies may be able to convert previously inedible biological matter into food that is digestible for humans.,86% of livestock feed is inedible for humans (p. 1). Animals are therefore helping humans recycle crop co-products and food waste (p. 10).,Not Divergent,Not Divergent
Grain-fed animals eat the same foods as humans.,86% of livestock feed is inedible for humans (p. 1). Animals are therefore helping humans recycle crop co-products and food waste (p. 10).,Divergent,Divergent
"Hunger has always existed, both in times of geopolitical stability and conflict.",World hunger is not currently caused by a lack of food but by geopolitical inequalities and conflicts (p. 14).,Not Divergent,Not Divergent
The conversion of crops into meat is highly inefficient compared to the direct consumption of plant matter (p. 8164).,"Not all arable land in the world is suitable for crop production, and many of the by-products of human food production can only be eaten by ruminants.",Not Divergent,Not Divergent
Arable land that is unsuitable for crop production could be reserved as natural ecosystems.,"Not all arable land in the world is suitable for crop production, and many of the by-products of human food production can only be eaten by ruminants.",Not Divergent,Not Divergent
The waste of animal produce has a greater detrimental environmental effect than the waste of vegan foods.,"Food wastage would still occur in a vegan society, meaning world hunger may still exist.",Divergent,Divergent
Only a small amount of vegan foods put significant pressure on water resources. Vegans can consume vegan foods that do not use as much water (p. 1577).,Producing certain vegan foods requires more water than livestock.,Divergent,Divergent
Far more water resources are used for animal agriculture than crop agriculture.,Producing certain vegan foods requires more water than livestock.,Divergent,Divergent
A vegan society would be the most effective at combating climate change.,"As industries increasingly transition to sustainable fuel sources, the reduction of global emissions may be accomplished by means other than the elimination of the meat industry.",Divergent,Divergent
A vegan society would be the most effective at combating climate change.,Cultivated meat is a more environmentally sustainable method of creating conventional food.,Not Divergent,Not Divergent
Vegan diets are associated with reduced greenhouse gas emissions and a much lower carbon footprint (p. 1).,The research on veganism's impact on greenhouse gases is inconsistent.,Divergent,Divergent
Vegan diets are associated with reduced greenhouse gas emissions and a much lower carbon footprint (p. 1).,"When considered per calorie, vegetarian diets may actually produce more greenhouse gas emissions than those of omnivores.",Divergent,Divergent
Vegan diets are associated with reduced greenhouse gas emissions and a much lower carbon footprint (p. 1).,"Vegan diets are often reliant on highly processed meat and dairy alternatives, meaning that most are no more environmentally beneficial (in terms of their carbon footprint) than an ovo-lacto-vegetarian diet (pp. 6-7).",Divergent,Divergent
Animal agriculture is a major contributor to global warming. A global move to a vegan diet could reduce food-related greenhouse gas emissions (which make up 37% of human-activity emissions) by two-thirds by 2050 (p. 4146).,"A vegan society would be more dependent on imported foods, making transport emissions even worse.",Divergent,Divergent
Methane from cows and other livestock constitutes 44% of human-produced methane in the atmosphere.,Converting livestock methane into biogas could reduce the methane emissions from animal agriculture.,Not Divergent,Not Divergent
"Most food-related greenhouse gas emissions occur during production, with final transport to retail only contributing 4% of the total emissions (p. 3508).","Many vegan foods travel more miles than meat, contributing to a higher overall carbon footprint.",Divergent,Divergent
CO₂ emissions from increased transport would still likely pale in comparison to those produced in animal agriculture.,"A vegan society would be more dependent on imported foods, making transport emissions even worse.",Divergent,Divergent
Plants grown for food absorb CO₂.,The net absorption of CO₂ by plants is low enough that it does not contribute much to greenhouse gas reduction.,Not Divergent,Not Divergent
Kelp and other seaweeds are high protein food stuffs that absorb CO₂ more effectively than trees.,"Kelp and seaweed, which help absorb greenhouse gases in the ocean, are often farmed using unsustainable methods such as dredging.",Not Divergent,Not Divergent
Global adherence to a vegan diet would contribute to carbon sequestration.,Developing more properly-managed grazing spaces for cattle by regenerating grasslands may help capture more carbon than the animals produce.,Divergent,Divergent
"Carbon sinks will eventually reach their limit (p. 2708), and grasslands supporting grass-fed cattle only store 20-60% of the greenhouse gases produced by the grazing cattle.",Developing more properly-managed grazing spaces for cattle by regenerating grasslands may help capture more carbon than the animals produce.,Not Divergent,Not Divergent
"The problem of climate change is urgent. Governments must cut emissions in all areas as quickly as possible to have a realistic chance of limiting it. Therefore, even if green energy is adopted, humans should still go vegan.","As industries increasingly transition to sustainable fuel sources, the reduction of global emissions may be accomplished by means other than the elimination of the meat industry.",Divergent,Divergent
Research suggests that - without considerable changes to its production methods and infrastructure - cultivated beef would not have a significantly reduced carbon footprint when compared to beef from cattle (p. 8),Cultivated meat is a more environmentally sustainable method of creating conventional food.,Divergent,Divergent
A vegan society would create the least pollution.,"If all societies became vegan, the use of chemical fertilizers would dramatically increase due to the loss of animal fertilizer. This switch is not a sustainable or eco-friendly option.",Divergent,Divergent
A vegan society would create the least pollution.,Vegan foods and products often contain - or are packaged in - non-biodegradable materials.,Divergent,Divergent
Pollution caused by grazing damages river systems.,Rotational grazing can help reduce damage to river systems without abandoning animal agriculture entirely (p. 2118).,Not Divergent,Not Divergent
"Many waterways are polluted with farm animal faeces, causing the water to contain levels of nitrogen and phosphorus that are unsafe for human consumption (p. vii).",Regenerative animal agriculture can benefit waterways and oceans.,Not Divergent,Not Divergent
Human faeces is vegan and could be a replacement for animal manure.,"Manure is sustainable, while fertilizer mining is not.",Divergent,Divergent
"Technological advances, such as fertilizer rationing software, can reduce fertilizer use.","If all societies became vegan, the use of chemical fertilizers would dramatically increase due to the loss of animal fertilizer. This switch is not a sustainable or eco-friendly option.",Divergent,Divergent
Chemical fertilizers are safer for human health than manure.,"If all societies became vegan, the use of chemical fertilizers would dramatically increase due to the loss of animal fertilizer. This switch is not a sustainable or eco-friendly option.",Divergent,Divergent
Chemical fertilizers are safer for human health than manure.,Chemical fertilizers may increase people's risk of cancer.,Divergent,Divergent
Many plastic-free stores are vegan or vegetarian.,Vegan foods and products often contain - or are packaged in - non-biodegradable materials.,Divergent,Divergent
People may become environmentally complacent even if they are not vegan.,"Veganism may cause people to be more complacent about their environmental choices, thereby reducing the likelihood they will make other important environmental decisions.",Divergent,Divergent
Allowing land unsuitable for agriculture to be returned to wild habitats would have a much greater positive environmental impact than using it for grazing.,"Vegetation-rich areas that are unsuitable for crop agriculture can be used for grazing, reducing the need for other, environmentally damaging animal feed sources.",Divergent,Divergent
Animal flocks could still be held for their environmental benefits without harming or exploiting them.,Livestock farming can benefit the environment.,Not Divergent,Not Divergent
Animal flocks could still be held for their environmental benefits without harming or exploiting them.,"Some vegans consider any kind of human control or ownership of animals to be unethical. Using animal flocks, then, could be considered non-vegan.",Divergent,Divergent
Pasture animals can damage biodiversity.,Livestock farming can benefit the environment.,Divergent,Divergent
Pasture animals can damage biodiversity.,Traditional pasturing has benefited some native species and helped to preserve their habitats. Stopping it would destroy a centuries-old equilibrium and endanger those species.,Divergent,Divergent
Pasture animals can damage biodiversity.,"In many instances, livestock grazing is crucial for biodiversity.",Divergent,Divergent
"Livestock produce 14.5% of all CO₂ equivalent greenhouse gases (p. xii), while all transportation produces 14% of all CO₂ equivalent greenhouse gases. Becoming vegan would have an environmental effect similar to stopping all travel.",Travel has a significant negative impact on the environment.,Not Divergent,Not Divergent
"Currently, there are few, if any, alternatives to extremely polluting forms of long-distance travel.",Travel has a significant negative impact on the environment.,Not Divergent,Not Divergent
"It is possible to immediately decide to be vegan. Other environmental decisions, such as changing to renewable energy, are not always available in the short term.",People's eating habits are not the most important issue that should be addressed to save the environment.,Divergent,Divergent
"Given the severity of the climate emergency, people ought to do as much as possible to limit their carbon footprint. There is, therefore, nothing contradictory in both becoming vegan and fighting against other sources of climate change.",People's eating habits are not the most important issue that should be addressed to save the environment.,Divergent,Divergent
Veganism reduces both human and animal suffering.,"Humans have the right to treat animals in such a way as meets their needs. As such, they have few obligations to minimize the suffering of animals.",Divergent,Divergent
Veganism reduces both human and animal suffering.,Many vegan practices and portrayals of veganism are racist. These would become more harmful and widespread if everyone were vegan.,Divergent,Divergent
Veganism reduces both human and animal suffering.,Universal veganism would exploit and kill more animals than it would save.,Divergent,Divergent
The meat industry significantly harms its workers and nearby communities.,"Many crops are picked by migrant farmers that face sexual, verbal, and physical abuse, as well as health problems and low pay (p. 6).",Not Divergent,Not Divergent
The meat industry significantly harms its workers and nearby communities.,The meat industry employs half a million people in the US and has brought employment to previously depressed areas (p. 1).,Divergent,Divergent
"Slaughterhouse employees report that their work severely affects their emotional and mental health, which also often impacts their families and communities.","There are a number of other professions that are seen also as mentally stressful and traumatic, yet society does not consider these necessary to eradicate.",Not Divergent,Not Divergent
Safety standards in the meat industry are poor.,Worker safety standards differ between countries and can be improved regardless of whether all humans are vegan.,Not Divergent,Not Divergent
"If everyone were vegan, global agricultural land usage would decrease by 75%. This would result in far fewer farmers, likely improving working conditions.","Many crops are picked by migrant farmers that face sexual, verbal, and physical abuse, as well as health problems and low pay (p. 6).",Divergent,Divergent
"Ethical issues with vegan production chains result from broader exploitative production systems, not veganism itself.","Many crops are picked by migrant farmers that face sexual, verbal, and physical abuse, as well as health problems and low pay (p. 6).",Not Divergent,Not Divergent
Animals raised for human use are often treated cruelly.,"It is not in the meat industry's interest to treat animals cruelly, as mistreating cattle results in poorer quality meat (p. 6).",Divergent,Divergent
Animals raised for human use are often treated cruelly.,"While it may seem cruel, academic and laboratory research often requires animal testing and experimentation in order to create products that save the lives of humans and animals alike.",Divergent,Divergent
Animals raised for human use are often treated cruelly.,There are more ethical routes to obtain animal products that emphasize animal welfare and dignity.,Not Divergent,Not Divergent
"In the dairy industry, some calves are removed from their mothers at birth or killed if it is too expensive to rear them.",Long-term studies found no evidence that calves suffer behaviourally or developmentally when separated from their mothers (p. 5550).,Divergent,Divergent
Not all forms of cruelty result in inferior quality meat.,"Meat producers usually want animals to die quickly to prevent pain-associated chemicals from forming, which may spoil the meat (p. 1).",Not Divergent,Not Divergent
"Crueler methods of livestock management allow farms to increase the quantity they produce at a lower cost. Even if some consumers resent lower quality, cruel farms will likely be more profitable.","It is not in the meat industry's interest to treat animals cruelly, as mistreating cattle results in poorer quality meat (p. 6).",Divergent,Divergent
"Many slaughterhouses have been caught flouting animal cruelty laws, resulting in animals experiencing immense suffering before their deaths.","It is not in the meat industry's interest to treat animals cruelly, as mistreating cattle results in poorer quality meat (p. 6).",Divergent,Divergent
"There are an increasing number of alternatives to animal testing (p. 223). Funding and research into these methods would likely be increased in a vegan society, making them more feasible.","While it may seem cruel, academic and laboratory research often requires animal testing and experimentation in order to create products that save the lives of humans and animals alike.",Divergent,Divergent
"While purchasing from small-scale producers may be more ethical, most consumers prioritize the cost and ease of meat over the ethics of its production.",Purchasing from small-scale producers of animal products is more ethical than purchasing from industrial farms.,Not Divergent,Not Divergent
Small-scale meat production would be unable to satisfy global demand for meat.,Purchasing from small-scale producers of animal products is more ethical than purchasing from industrial farms.,Divergent,Divergent
"While some products exist, the mass availability of affordable cultured meat is still a long way off.","Scientific advancements, such as lab-grown meat, make it possible for people to eat meat without animal farming and slaughter.",Not Divergent,Not Divergent
"Humane farming still necessitates slaughter or mutilation. As such, it does not meaningfully reduce the suffering inflicted upon animals.",There are more ethical routes to obtain animal products that emphasize animal welfare and dignity.,Divergent,Divergent
"Humane farming still necessitates slaughter or mutilation. As such, it does not meaningfully reduce the suffering inflicted upon animals.","Hunting, if done ethically, can give animals a more peaceful death than they would have experienced at the hands of a non-human predator (p. 183).",Divergent,Divergent
"Humane farming still necessitates slaughter or mutilation. As such, it does not meaningfully reduce the suffering inflicted upon animals.",Organic farming places a strong emphasis on animal welfare and requires that animals are kept healthy and in humane conditions.,Divergent,Divergent
"Halal and kosher slaughter methods may actually be crueler than secular farming methods, as they do not stun the animals before killing them, causing more suffering.",The slaughter of animals using kosher or halal rules makes the process as quick and painless as possible (p. 31).,Divergent,Divergent
"Ethical farming practices are rarely used, meaning most people do not have access to - or cannot afford - ethically produced meat.",There are more ethical routes to obtain animal products that emphasize animal welfare and dignity.,Not Divergent,Not Divergent
"Ethical farming practices are rarely used, meaning most people do not have access to - or cannot afford - ethically produced meat.",There are many companies that produce certified humane animal products.,Divergent,Divergent
"Ethical farming practices are rarely used, meaning most people do not have access to - or cannot afford - ethically produced meat.","Halal meat - seen by Muslims as the only ethical way to kill an animal - is widely practised throughout the world. Therefore, it is feasible to use such methods on a large scale.",Divergent,Divergent
"Ethical farming practices are rarely used, meaning most people do not have access to - or cannot afford - ethically produced meat.","Many countries have begun mandating that animals be stunned before slaughter, making the process significantly less painful for the animal.",Not Divergent,Not Divergent
A vegan society would cause singificantly less harm to wildlife.,"If all humans go vegan, entire ecosystems could be disrupted by the overpopulation of livestock if they were released into the wild.",Divergent,Divergent
"In a vegan world, fewer species would be at risk of extinction.",Properly managed animal farming can benefit biodiversity.,Divergent,Divergent
Industrial agriculture can dangerously decrease animal populations.,Sustainable livestock farming is not contributing to significant decreases in animal populations. Decreasing animal populations is a problem specific to industrial livestock farming.,Not Divergent,Not Divergent
The argument that grazing animals can help fight climate change has been challenged by scientists who argue that any environmental benefits are offset by the volume of greenhouse gases emitted by the livestock.,"If lost herds are not replaced with ruminant animals, deserts will be created, causing far more environmental damage than animal greenhouse gases.",Divergent,Divergent
"Beef agriculture is the most significant cause of tropical deforestation, which accounts for around 10% of global warming emissions.","If lost herds are not replaced with ruminant animals, deserts will be created, causing far more environmental damage than animal greenhouse gases.",Divergent,Divergent
Industrial farming is a major cause of the loss of biodiversity.,Properly managed animal farming can benefit biodiversity.,Divergent,Divergent
Animal agriculture severely harms wildlife as farmers tend to kill wildlife in order to protect their livestock (p. 1).,"Wild pigs are destructive, costing the US an estimated $2.5 billion yearly in damages and control costs. It is therefore appropriate for farmers to kill these animals.",Not Divergent,Not Divergent
Many invasive species have been introduced to new territories on vegan crops.,Human-introduced species have historically devastated local wildlife populations across the world.,Not Divergent,Not Divergent
Feral animals are proof that domesticated animals - including livestock - can successfully return to the wild.,"Not only would releasing livestock into the wild be unethical in terms of its impact on wildlife, but it would be unethical in terms of the harms it would inflict on livestock, who have not been bred to survive in the wild.",Divergent,Divergent
Effective vegan methods to control animal populations exist.,"If all humans go vegan, entire ecosystems could be disrupted by the overpopulation of livestock if they were released into the wild.",Divergent,Divergent
Effective vegan methods to control animal populations exist.,"Hunting can be a more effective method to control overpopulation and invasive animal species, and can rebalance ecosystems..",Divergent,Divergent
Neutering can reduce population sizes without killing any animals.,"The castration of farm animals is routinely performed surgically and without anaesthesia. Any en-masse neutering for population control would likely be performed in the same way, causing significant suffering.",Divergent,Divergent
"Anaesthesia has been used when neutering wild cats. This suggests it could be used when neutering farm animals, even if it is not currently.","The castration of farm animals is routinely performed surgically and without anaesthesia. Any en-masse neutering for population control would likely be performed in the same way, causing significant suffering.",Divergent,Divergent
Inflicting some amount of pain and distress on animals is better than killing them.,"The castration of farm animals is routinely performed surgically and without anaesthesia. Any en-masse neutering for population control would likely be performed in the same way, causing significant suffering.",Divergent,Divergent
"Many species of wild animals have been and continue to be hunted to extinction or near extinction (p. R551), including by farmers.","Hunting can be a more effective method to control overpopulation and invasive animal species, and can rebalance ecosystems..",Divergent,Divergent
Natural selection will correct for species' overpopulation eventually.,"If all humans go vegan, entire ecosystems could be disrupted by the overpopulation of livestock if they were released into the wild.",Divergent,Divergent
Natural selection will correct for species' overpopulation eventually.,Natural selection does not guarantee a favorable outcome for native species and may lead to the extinction of many species.,Divergent,Divergent
"It's unlikely that livestock would be released into the wild. The livestock would probably still be slaughtered. However, breeding would likely decrease according to demand, reversing the production growth.","If all humans go vegan, entire ecosystems could be disrupted by the overpopulation of livestock if they were released into the wild.",Divergent,Divergent
"Most of the animals killed by humans for food - such as cows, pigs, and chickens - do not usually kill humans or each other.","Humans are just another type of animal. Therefore, we are only as morally obliged not to kill or dominate other species as they are morally obliged not to kill or dominate each other.",Divergent,Divergent
"Most of the animals killed by humans for food - such as cows, pigs, and chickens - do not usually kill humans or each other.",Most predators are not eaten by their prey. The fact that gazelles do not eat lions is not a reason to stop lions from eating gazelles.,Divergent,Divergent
The fact that an action is natural does not imply that it is moral.,It is natural for humans to subordinate animals for their needs.,Divergent,Divergent
"It is rare for humans to desire to kill animals, and their physiology suggests they are not designed to do so.",It is natural for humans to subordinate animals for their needs.,Divergent,Divergent
"It is rare for humans to desire to kill animals, and their physiology suggests they are not designed to do so.",There is evidence that humans have innate hunting traits and possess a natural hunting instinct.,Divergent,Divergent
"Human bodies are largely not able to kill animals on their own, implying it is not natural to do so. Humans often need tools to kill animals, unlike other predators.",Many non-human animals use tools to kill their prey.,Not Divergent,Not Divergent
"Infants do not possess the rational faculties of adults, yet are considered to have rights.","Since animals do not possess free will to the same extent as humans, they cannot have the same rights (p. 538).",Divergent,Divergent
"A lack of free will may mean that animals do not have positive rights, but they could still have negative rights, for which free will is not necessary.","Since animals do not possess free will to the same extent as humans, they cannot have the same rights (p. 538).",Divergent,Divergent
"From a biological and psychological perspective, the distinction between humans and animals is small.",The fact that humans have greater rational faculties than animals makes them entitled to do what they wish with animals.,Divergent,Divergent
"From a biological and psychological perspective, the distinction between humans and animals is small.","To be a moral actor, one must be capable of making moral decisions. Animals do not have this ability.",Divergent,Divergent
"From a biological and psychological perspective, the distinction between humans and animals is small.",Complex cognitive differences in how humans think and experience emotions mean that it is natural for us to perceive ourselves as superior to other animals.,Divergent,Divergent
"Just like humans, animals desire to live.","An animal's desire to live does not imply its right to live. Under the concept of survival of the fittest, everything wants to survive, but only the fittest will.",Divergent,Divergent
"A number of animals have passed the mirror test, proving that they can recognise themselves as individuals.",The mirror test is a very unreliable test of self-awareness.,Divergent,Divergent
"Even if morals only apply to human actions, they still constrain what humans are morally allowed to do to animals.","To be a moral actor, one must be capable of making moral decisions. Animals do not have this ability.",Not Divergent,Not Divergent
It is immoral to do harm to a person who is asleep or in a temporary coma as they are still moral agents. The same applies to animals.,"To be a moral actor, one must be capable of making moral decisions. Animals do not have this ability.",Divergent,Divergent
"Many mammals can experience similar mental conditions to humans, including depression, Obsessive-Compulsive Disorder, and anxiety disorders.",Complex cognitive differences in how humans think and experience emotions mean that it is natural for us to perceive ourselves as superior to other animals.,Divergent,Divergent
"Animals should be considered to have innate rights, which are violated by non-vegan practices. Therefore, eating animals relies on speciesist conceptions of animals.","Humans have the right to treat animals in such a way as meets their needs. As such, they have few obligations to minimize the suffering of animals.",Divergent,Divergent
"Animals should be considered to have innate rights, which are violated by non-vegan practices. Therefore, eating animals relies on speciesist conceptions of animals.","Plants have many of the qualities generally used to justify granting rights to humans and animals. By this logic, they too should have individual rights.",Divergent,Divergent
"All living things, even bacteria, respond to stimulus (p. 558). Yet, not all living things are sentient in a morally relevant sense.",That plants react to damage is evidence that these organisms do not want to die.,Divergent,Divergent
"The consumption of fruit by other organisms is an essential part of many plants' reproduction systems, so eating fruit is compatible with these plants’ rights.","Plants have many of the qualities generally used to justify granting rights to humans and animals. By this logic, they too should have individual rights.",Not Divergent,Not Divergent
"Plants lack the nervous system and pain receptors necessary to experience pain, and its accompanying emotions, in the way that sentient beings do (p. 883).","Plants have many of the qualities generally used to justify granting rights to humans and animals. By this logic, they too should have individual rights.",Divergent,Divergent
"Plants lack the nervous system and pain receptors necessary to experience pain, and its accompanying emotions, in the way that sentient beings do (p. 883).",Experts in the field of plant neurobiology can not agree on whether or not plants possess the equivalent of a brain and nervous system.,Divergent,Divergent
The fact that animals can suffer makes them worthy of moral concern and implies that humans ought to not consume them.,"Humans have the right to treat animals in such a way as meets their needs. As such, they have few obligations to minimize the suffering of animals.",Divergent,Divergent
The fact that animals can suffer makes them worthy of moral concern and implies that humans ought to not consume them.,A being’s ability to suffer does not entitle them to specific protections or rights.,Divergent,Divergent
"The experience of pain and pleasure is the most important moral consideration there is. Since animals can experience them, it is wrong to inflict unnecessary suffering on them.",A being’s ability to suffer does not entitle them to specific protections or rights.,Divergent,Divergent
"The lack of representation of people of color is a general problem of these countries. It is not caused by, but rather reflected in, veganism.","Veganism is typically depicted using white, affluent individuals, despite its non-white roots.",Not Divergent,Not Divergent
Veganism is primarily a first-world trend and is most popular in Western countries and cities.,"Veganism is typically depicted using white, affluent individuals, despite its non-white roots.",Not Divergent,Not Divergent
Comparisons between human and animal suffering effectively challenge the mismatch between our moral considerations of humans and animals.,Advertisements for veganism have made problematic comparisons between the suffering of animals and the suffering experienced by minority communities.,Divergent,Divergent
"In a world where everyone is vegan, there would be no need for advertisements for veganism.",Advertisements for veganism have made problematic comparisons between the suffering of animals and the suffering experienced by minority communities.,Divergent,Divergent
"Many vegan companies, like Beyond Meat and Miyoko's, have proactively taken anti-racist stances and tried to increase awareness of structural racism.",Many vegan practices and portrayals of veganism are racist. These would become more harmful and widespread if everyone were vegan.,Divergent,Divergent
More widespread veganism would likely lead to more inclusive dietary advice.,Many vegan practices and portrayals of veganism are racist. These would become more harmful and widespread if everyone were vegan.,Divergent,Divergent
More widespread veganism would likely lead to more inclusive dietary advice.,"Despite the growing popularity of global veganism, white men continue to represent the majority of subjects in clinical trials and other forms of health research, including dietary research (p. 1).",Not Divergent,Not Divergent
"Many meat products are guilty of environmental racism, whereby industrial livestock production disproportionally pollutes Black, Latinx and Indigenous areas.",Many vegan practices and portrayals of veganism are racist. These would become more harmful and widespread if everyone were vegan.,Divergent,Divergent
"Bees would pollinate plants regardless of whether they are industrially grown by farmers or exist in the wild. Therefore, the role of pollination in the agriculture industry does not constitute exploitation.",The agriculture industry uses insects like bees to grow crops (p. 3). Universal veganism would require the greater exploitation of such insects.,Divergent,Divergent
"Since a number of prominent vegan organizations have been very critical of palm oil, many vegans avoid using it.","Farmers have historically taken land away from wildlife to farm crops, threatening some species. This is especially true of palm oil cultivation.",Not Divergent,Not Divergent
"Raising animals also requires the production of plants, meaning the same suffering will occur. At least, with veganism, an additional set of animals do not suffer.",Universal veganism would exploit and kill more animals than it would save.,Divergent,Divergent
The accidental deaths resulting from growing and harvesting plants are morally different from the intentional deaths caused by slaughtering animals.,Universal veganism would exploit and kill more animals than it would save.,Divergent,Divergent
Methods like indoor or hydroponic farming and cultured meat involve far less animal suffering.,Universal veganism would exploit and kill more animals than it would save.,Divergent,Divergent
"Although top allergens are also the top vegan protein sources (soy and wheat), most vegan companies offer products made from peas and almonds.","The most common trigger foods for some medical conditions - such as celiac disease, irritable bowel syndrome (IBS) (p. 547), and G6PD deficiency - are often staples of a vegan diet. People who have these conditions may find veganism difficult.",Not Divergent,Not Divergent
People can successfully live with IBS while following a vegan diet.,"The most common trigger foods for some medical conditions - such as celiac disease, irritable bowel syndrome (IBS) (p. 547), and G6PD deficiency - are often staples of a vegan diet. People who have these conditions may find veganism difficult.",Divergent,Divergent
People with hemochromatosis can benefit greatly from a vegan diet due to plants' less absorbable nonheme iron (p. 66).,"Plant sources of iron only contain nonheme forms of iron, while meat sources contain both heme and nonheme. Having both sources makes iron more available for absorption and use in the body.",Not Divergent,Not Divergent
The American Journal of Clinical Nutrition has argued that vegans generally have adequate iron intake and do not experience anemia at a higher rate than others (p. 1629S).,"Some medications and medical conditions can create predispositions for anaemia, which can cause blindness (p. 1). As vegan diets can be low in iron, veganism can be dangerous for people with these conditions.",Divergent,Divergent
"Many older people experience heart problems, which are often exacerbated by eating large amounts of red or processed meat.","Many older people already struggle with health complications. Malnutrition, which is more commonly seen in vegan diets, could make these health conditions worse.",Divergent,Divergent
"A study found no link between orthorexia nervosa and veganism or vegetarianism, instead citing ethical reasons as the motivation behind these diets (p. 1).","Attempting to adhere to a strict vegan diet can lead to orthorexia, an obsession with eating a ""pure"" diet.",Divergent,Divergent
"If everyone were vegan, veganism would no longer be seen as restrictive. This would diminish the attractiveness of veganism to people with restrictive eating disorders.",Veganism can be adopted as a way to legitimise continued restrictive eating behaviour (pp. 5-6).,Not Divergent,Not Divergent
The belief that veganism exacerbates eating disorders is a stereotype which is often perpetuated by disorder treatment centers.,The restrictive nature of a vegan diet may exacerbate eating disorders or trigger those who suffer from them.,Not Divergent,Not Divergent
There is no evidence of a direct causal link between veganism and eating disorders.,The restrictive nature of a vegan diet may exacerbate eating disorders or trigger those who suffer from them.,Divergent,Divergent
Many processed vegan foods are fortified with nutrients typically found in animal products.,Some medical conditions and medication that affect nutrition can prevent a person from going vegan.,Not Divergent,Not Divergent
Many processed vegan foods are fortified with nutrients typically found in animal products.,"Some vegans, like those who follow a raw food vegan diet, do not obtain the nutrients fortified in processed vegan foods.",Not Divergent,Not Divergent
Many processed vegan foods are fortified with nutrients typically found in animal products.,Individuals suffering from ineffective biosynthesis conditions - such as retinol deficiency and Smith-Lemli-Opitz syndrome - cannot utlise the nutrients in fortified vegan products and need to consume some animal products (p. 1).,Divergent,Divergent
