text1,text2,divergent or not divergent
There are established scientific guidelines and regulations to ensure that fluoride levels in drinking water and other sources are carefully monitored and controlled.,"Fluoride is not an essential nutrient, therefore no added fluoride is needed.",not divergent
All fluoride products used in the USA are certified by NSF standard 60 for use in public water supplies.,Fluoride is an industrial byproduct.,not divergent
"Fluoride is mined and sold as a by-product to mining for phosphorus as ore mined for phosphorus often has fluoride as well, but there is a much higher demand for phosphorus. Using this term distorts the purpose of community water fluoridation to protect the public's health.",Fluoride is an industrial byproduct.,not divergent
The potential risks associated with excess exposure are outweighed by the established positive impact on oral health.,"Fluoridated water has been called safe for many years, but we now know that studies conducted in North America examining the safety of fluoride exposure in pregnancy were nonexistent.",not divergent
Water fluoridation is a means of promoting public health equity.,Fluoridating water is bad for the environment.,not divergent
Vegetarianism lowers the risk of chronic diseases.,"Some studies suggest that vegetarians are ""less healthy and have a lower quality of life"" than meat-eaters.",divergent
"This depends on the particular vegetarian diet. If it contains much dairy and/or extra vitamin D and calcium, there unlikely any more bone health issues than otherwise.",Vegetarian diets might not be the best choice for children since it could prevent them from achieving optimal height or bone mineral status.,divergent
Meat-eaters are overall more overweight than vegetarians.,"The correlation presented is more likely to be dependent not on vegetarianism, but on healthy lifestyle.",divergent
Vegetarian diets tend to be less calorie-dense than typical omnivorous diets.,"In ovo-lacto vegetarian diets, meat is often substituted with fat products (i.e. cheese) leading to higher calorie intake.",divergent
"According to studies, vegetarian diets were associated with a 53% greater risk of depression compared to a diet consumed by non-vegetarians which can lead to worse lifestyles.","According to studies, the lifestyle of vegetarians tends to be healthier including more leisure-time physical activity together with a healthy diet.",divergent
"According to studies, vegetarian diets were associated with a 53% greater risk of depression compared to a diet consumed by non-vegetarians which can lead to worse lifestyles.","The studies are not of sufficient quality to exclude likely confounding, such as mainly that people who tend to be more likely depressive are also more likely to be vegetarian (e.g. having greater ethical concerns, worrying minds, or coming from lower-income countries). Few or no considerable intervention studies are included and the review found contradicting effects.",divergent
"According to studies, vegetarian diets were associated with a 53% greater risk of depression compared to a diet consumed by non-vegetarians which can lead to worse lifestyles.",The study does not have an explanation for these findings or be due to the particular characteristics of the vegetarian diet (such as diets not including supplementation or being unhealthy) or participants' needs in those studies. No interventional study came to the conclusion that vegetarian diets are linked to greater risk of depression.,divergent
"According to studies, vegetarian diets were associated with a 53% greater risk of depression compared to a diet consumed by non-vegetarians which can lead to worse lifestyles.","It also found that the studies rated to have the best quality, one study ""associated vegetarian/vegan diets with either no risk or a higher risk of depression (depending on the population) and three studies associated these diets with a lower risk of depression"". These were also much larger than the other studies which found found a negative effect except for the Matta et al. 2018 study of volunteers.",divergent
Vegetarianism lowers risk of heart disease by a quarter.,Some types of vegetarian diets can actually increase the risk of heart disease.,divergent
"B12 can be found in nutritional yeast, soy milk, and tofu.","B12 is not found in any plant-based sources other than fortified cereals, meaning it is difficult to access.",divergent
"Vegetarians can easily get B12 from eggs and cheese, two foods that are not excluded from a vegetarian diet.","Since plant-foods don't naturally contain B12, vegetarian diets can lead to a type of serious anemia, known as pernicious anemia.",divergent
"Due to supplementation and fortified foods, B12 deficiency has become much less prevalent in vegetarians/vegans in recent years.",B12 deficiency is quite common among vegetarians.,divergent
"Studies have proven the contrary: vegetarians have lower LDL cholesterol, blood pressure, rates of hypertension, and type 2 diabetes compared to meat eaters, together with a reduced risk of chronic diseases.","Some studies suggest that vegetarians are ""less healthy and have a lower quality of life"" than meat-eaters.",divergent
The diseases associated with meat consumption are among the most common and risky diseases.,"Some studies suggest that vegetarians are ""less healthy and have a lower quality of life"" than meat-eaters.",divergent
The diseases associated with meat consumption are among the most common and risky diseases.,"Upon analyzing 12 randomized trials involving approximately 54,000 individuals, researchers did not observe a statistically significant or meaningful association between meat consumption and the risk of heart disease, diabetes, or cancer.",divergent
These findings are merely correlational and do not support the notion that eating a vegetarian diet causes physical or mental health problems.,"Some studies suggest that vegetarians are ""less healthy and have a lower quality of life"" than meat-eaters.",divergent
Being capable of eating foods from certain sources does not make those sources essential.,Humans are omnivores: we are designed to eat a variety of food types and sources in order to thrive.,not divergent
Being capable of eating foods from certain sources does not make those sources essential.,"Since different foods contain different nutrients, being able to eat a variety of foods increases the chances of consuming all beneficial nutrients.",not divergent
Many chemicals are also used in animal food production such as antibiotics and preservatives.,Many chemicals are used in plant-food production which can harm the overall health.,not divergent
Vegetarianism lowers the risk of chronic diseases.,"With the increase of vegetarian options in the supermarkets, some people may rely heavily on processed vegetarian alternatives which can be high in salt, sugar, and unhealthy fats.",not divergent
"Residues of pesticides, including historically banned ones like DDT, are detectable in meat and animal byproducts. These pesticides primarily originate from the animals' diet and accumulate in their fat stores over time.","If the vegetables/fruits are not organic, one can be exposed to a dangerous quantity of pesticides.",not divergent
"Many plant toxins, also known as phytochemicals, are beneficial to humans through a phenomenon known as hormesis.","Concerns have been raised regarding hormesis, since it might have been exploited by lobbyists to diminish environmental regulations for certain widely recognized toxic substances in the United States.",not divergent
"B12 is stored in the liver for up to 5 years and easily supplemented as it's cheap, accessible, and high-dosable.","Vitamin B12 is an essential nutrient that's almost exclusively found in animal-sourced foods, such as fish, meat, dairy products, and eggs.",not divergent
"Vegetarians do not eat meat but usually still eat some amount of animal-based foods such as eggs, fish, and dairy.","Vitamin B12 is an essential nutrient that's almost exclusively found in animal-sourced foods, such as fish, meat, dairy products, and eggs.",not divergent
Animals also take supplements which shows that everyone needs B12 supplements as the ground quality has decreased over the industrial period.,B12 deficiency is quite common among vegetarians.,not divergent
The diseases associated with meat consumption are among the most common and risky diseases.,"The diseases associated with meat are actually associated with over consumption of meat, not meat in itself.",not divergent
The term ultra-processed food is very ill-defined. It is not evident that the consumption of all forms of ultra-processed foods pose a health hazard.,Vegetarianism has been associated with higher consumption of ultra-processed foods.,not divergent
There are preferable alternatives to animal testing that are more accurate and humane.,"Any alternative methods of research are merely complementary, and no method can entirely replace the use of animals.",divergent
There are preferable alternatives to animal testing that are more accurate and humane.,Alternative methods to animal testing often have limitations.,divergent
"Human palliative patients may consent to medical trials on the basis that they have little to lose and may potentially benefit from them. If nothing else, the knowledge that they will be helping develop treatments for future patients may be comforting.","A palliative patient is likely to have compromised biological systems due to the nature of many terminal conditions. In this instance, using them as a test subject would not produce accurate results as their bodies are likely to react to treatment differently.",divergent
"As long as an individual is deemed to have sufficient mental capacity, and providing the risks of any procedure are fully explained to them, they are able to give informed consent.","Those who are extremely sick, vulnerable, and often poor are the least capable of expressing informed consent.",divergent
"Despite any potential risk, for terminally ill patients, early access to such drugs can be the only treatment option and may be life-saving (p. 5).",Using terminally ill patients for medical experiments exposes them to an unacceptably high risk of adverse side effects.,divergent
It is much more effective to use human parts that a person has consented to donate.,It is not possible to cultivate some diseases in a manner which allows for experiments to be conducted without using living organisms (p. 55).,divergent
Unlike human test subjects - from whom informed consent is obtained - animals are unable to consent to trials.,"Consent is a human construct, which does not apply to animals.",divergent
"It is unethical to subject animals to procedures to which they cannot consent and which may be painful or uncomfortable, as many are self-aware and know when they are being mistreated (p. 1).","There is no accurate way to measure if, or to what extent, an animal prizes the value of its own life in the same way as a human does. As such, we can do no more than to speculate about their preferences.",divergent
Humans have a moral responsibility to take care of animals who are unable to defend themselves.,"Humans' moral responsibility towards animals only applies to the extent that humans are not harmed or neglected in the process. Where animal testing is necessary to preserve human life, our responsibility is to our fellow humans above other species.",divergent
Humans have a moral responsibility to take care of animals who are unable to defend themselves.,Kantian ethics rejects that humans have a moral obligation to protect animals because animals are not self-conscious beings and thus lack moral agency.,divergent
Computer technology is far superior in terms of determining whether substances are harmful to humans or not.,"The continuing evolution of living beings is dependent, in part, upon a certain degree of randomness. So much so that, even with the most advanced computer systems, its outcome is somewhat unpredictable. For this reason, it is unlikely that computer models will ever fully replace in vivo testing methods.",divergent
Computer technology is far superior in terms of determining whether substances are harmful to humans or not.,Computer simulations can have severe limitations when compared to in vivo research.,divergent
'Organs-on-chips' are microfluidic culture devices adapted from computer microchips that emulate the functions of various human organs.,"'Organs-on-chips' are only able to replicate limited, specific functions and are not a replacement for a holistic analysis of effects in a living organism.",divergent
"CRISPR/Cas 9 DNA-editing technology, which uses patients' own cells, has far-reaching potential for curing disease.",CRISPR/Cas 9 has not shown any potential for curing any disease so far. It’s still a new tool that needs further research.,divergent
Computing power has grown very quickly and is expected to continue to do so. It is therefore reasonable to assume that the cost of this modelling will become less and less onerous.,"3D computer models of entire organs would take huge amounts of computational power, which would be both costly and time consuming.",divergent
There are research facilities specifically designed to carry out cutting edge medical research and testing without the use of animal subjects.,Implementation and authorisation of alternative methods can take notably longer than traditional animal testing since development and validation processes can take years.,not divergent
"Even if animals cannot be completely replaced yet, it is important that researchers maximize reduction by incorporating more alternatives to animal testing in their research.","Any alternative methods of research are merely complementary, and no method can entirely replace the use of animals.",not divergent
Testing could be done on willing human participants.,"As human subjects are often paid, it is questionable whether the participants' judgement in taking part is impaired due to the prospect of financial gain (pp. 2-3).",not divergent
Testing could be done on willing human participants.,Animal testing is often used to test the safety of pharmaceuticals and cosmetics to minimize harm to humans.,not divergent
Testing could be done on willing human participants.,Testing on animals is cheaper than testing on humans.,not divergent
"Human palliative patients may consent to medical trials on the basis that they have little to lose and may potentially benefit from them. If nothing else, the knowledge that they will be helping develop treatments for future patients may be comforting.","Those who are extremely sick, vulnerable, and often poor are the least capable of expressing informed consent.",not divergent
"Human palliative patients may consent to medical trials on the basis that they have little to lose and may potentially benefit from them. If nothing else, the knowledge that they will be helping develop treatments for future patients may be comforting.",Using terminally ill patients for medical experiments exposes them to an unacceptably high risk of adverse side effects.,not divergent
It is much more effective to use human parts that a person has consented to donate.,Animal testing can provide valuable information on likely side effects and reactions to medical treatments (p. 9).,not divergent
Humans have an ethical obligation to minimise animal suffering.,"As the majority of animal suffering occurs in the wild, the only way to truly minimise animal suffering is to intervene in and disrupt nearly all natural processes.",not divergent
"It's unethical to subject millions of thinking, feeling animals to life in a laboratory cage.","Since most people are comfortable eating meat, which comes from animals often kept in far worse conditions, the line should not be drawn at scientific research that could save human lives.",not divergent
Vaccination programs rely upon herd immunity for maximum efficacy.,Children do not have a moral obligation to protect one another. It is not the responsibility of children to undergo the potential risk of getting a vaccine for the benefit of another child.,divergent
Vaccination programs rely upon herd immunity for maximum efficacy.,Herd immunity is only a factor for diseases that are easily and inadvertently spread person-to-person (like the flu). The herd-immunity argument has no bearing on something like tetanus (i.e. your kid being vaccinated will not help my kid avoid stepping on a nail). Non-vaxxers would argue that HPV and Hep B are not transmissible in the normal activities of grade-schoolers.,divergent
Unvaccinated people are a potential danger to vaccinated people and especially to people who are unable to be vaccinated due to medical issues.,Children do not have a moral obligation to protect one another. It is not the responsibility of children to undergo the potential risk of getting a vaccine for the benefit of another child.,divergent
Unvaccinated people are a potential danger to vaccinated people and especially to people who are unable to be vaccinated due to medical issues.,"No one is put at risk by non-vaccination, except the unvaccinated person. Other people can choose to vaccinate and, if vaccines work as claimed, the vaccinated should be at no risk from the unvaccinated.",divergent
Children have a moral obligation not to harm one another. Exposing other children to a deadly virus is harm.,Children do not have a moral obligation to protect one another. It is not the responsibility of children to undergo the potential risk of getting a vaccine for the benefit of another child.,divergent
"The benefit they experience is living in a society mostly free of diseases like measles, mumps, rubella, pertussis, smallpox and so on.","It is unfair to make a person suffer for another's benefit without their consent, as the person who suffers never gets to experience the benefit which their suffering allowed.",divergent
"Being vaccinated is in every case a net expected health benefit. The total risk of all adverse reactions is substantially less than the total risk of all complications of catching the relevant disease. Therefore you are not ""making a person suffer"" by vaccinating them.","It is unfair to make a person suffer for another's benefit without their consent, as the person who suffers never gets to experience the benefit which their suffering allowed.",divergent
"This is not always, or even usually, the case. In many countries, the age of medical consent is lower (16, or even younger), and children can consent to medical treatments even below that age.",Permission of the parents is first required in order to carry out medical procedures on those under the age of 18.,divergent
Just because people are vaccinated against measles doesn't mean they will suddenly become reckless and seek out measles.,"Vaccines may create a false sense of security, leading people to behave in ways that are more reckless.",divergent
"Herd immunity kicks in at around 85%. When taking into consideration people who can't be vaccinated due to medical reasons, this does not leave a large amount of people who can remain not vaccinated without affecting herd immunity.","One number where herd immunity ""kicks in"" does not apply to all illnesses. Measles is highly contagious, and probably requires immunity rates of 95+%. Less contagious illnesses, especially those spread by sexual contact or other specific behavior(needles-sharing), will require less levels of immunity(because presumably I'm gonna have sex with FEWER people than I'm gonna breathe on, or shake hands with, in my lifetime)",divergent
"Reported ""exemptions"" from vaccination at school entry (based on religion, choice or other) are about 1-2.5%, and varies from state to state.",Exemptions at school entry misses home-schooled kids. There is likely more vaccine refusal among home-schoolers.,divergent
Children who are too young to be vaccinated rely on herd immunity until they are old enough to be vaccinated themselves.,"No one is put at risk by non-vaccination, except the unvaccinated person. Other people can choose to vaccinate and, if vaccines work as claimed, the vaccinated should be at no risk from the unvaccinated.",not divergent
Vaccination programs rely upon herd immunity for maximum efficacy.,"Governments cannot force someone to donate their organs, even if it will save the lives of others. Similarly, governments cannot force people to take risks with their own bodies in order to limit the risk to the bodies of others.",not divergent
Not vaccinating children is a form of child-endangerment.,Not every form of child endangerment is regulated/fined by the government.,not divergent
Not vaccinating children is a form of child-endangerment.,"Essentially all parenting activities hold a risk of harm, so parents are not obligated to eliminate all risk.",not divergent
"Because children have neither the capability nor experience to adequately speak for themselves, the government assumes the mantle to advocate for their interests.",Parents usually have the legal and moral authority to act as surrogates for their children.,not divergent
"Because children have neither the capability nor experience to adequately speak for themselves, the government assumes the mantle to advocate for their interests.",Parents are in the unique position of knowing their child closely on an individual level. This means that they are in the best position to know what is in the best interest of their child.,not divergent
"In many jurisdictions, courts can overrule parents' decisions, and in some cases there are certain procedures that courts must approve in advance.","The fact that the state ""can"" do something doesn't make it right.",not divergent
"This is not always, or even usually, the case. In many countries, the age of medical consent is lower (16, or even younger), and children can consent to medical treatments even below that age.","The key point here is ""consent"". Whatever the legal age requirement, the decision to vaccinate is a personal one, and the mandatory vaccination is an egregious violation of the right to informed consent.",not divergent
"In most jurisdictions, adolescents can consent to certain medical treatments without the consent of their parents, and courts and laws can overrule parental decisions (for example, to require that a child receive a blood transfusion against parental wishes) where the health of the child is at stake. This is hardly an unrestricted authority.","In the matter of blood transfusions, an emergency order must be entered by a judge.",not divergent
"In most jurisdictions, adolescents can consent to certain medical treatments without the consent of their parents, and courts and laws can overrule parental decisions (for example, to require that a child receive a blood transfusion against parental wishes) where the health of the child is at stake. This is hardly an unrestricted authority.","In Florida, a minor may only consent to treatment for an STI, or pregnancy.",not divergent
"In most jurisdictions, adolescents can consent to certain medical treatments without the consent of their parents, and courts and laws can overrule parental decisions (for example, to require that a child receive a blood transfusion against parental wishes) where the health of the child is at stake. This is hardly an unrestricted authority.",Parents usually have the legal and moral authority to act as surrogates for their children.,not divergent
"In most jurisdictions, adolescents can consent to certain medical treatments without the consent of their parents, and courts and laws can overrule parental decisions (for example, to require that a child receive a blood transfusion against parental wishes) where the health of the child is at stake. This is hardly an unrestricted authority.","In the matter of blood transfusions, an emergency order must be entered by a judge.",not divergent
"Steroid use in sports enhances competition and entertainment in sport, by enhancing athletes' abilities.","Many viewers prefer to watch athletes who are particularly skilled, as opposed to just freakishly strong. Widespread steroid use prioritises the latter over the former.",divergent
"Steroid use in sports enhances competition and entertainment in sport, by enhancing athletes' abilities.",Fans are turned off when they perceive players to be cheating.,divergent
The purpose of sports is to find the limits of the human body.,"There is a lot of debate about what sport is and what its purpose is. For example, sport was once linked with preparing people for war, a function it no longer holds for most modern societies.",divergent
"People innately find human extremes (intelligence, speed, strength) fascinating, and set up tests to find the most extreme cases. We now consider these tests to be sports.",Finding extremes would set bad examples for people as they would be inclined to use these steroids themselves.,divergent
"People instinctively find incredible displays of athleticism appealing: think fantastic dunks, long home runs, or the Olympic 100 meter dash. The more of these there are, the more fans will be interested.","What makes these feats of athleticism so appealing is their rarity. If everyone was capable of doing incredible things, that would become normal and thus not exciting.",divergent
"Many sports have embraced technology in order to improve athletic performance, e.g. in cycling, modern bikes are far lighter and faster than their older contemporaries.",Sports are about the 'natural' limits of the human body.,divergent
"Steroid use does not affect the rules governing game dynamics and is therefore not cheating. It only changes an individual player's level of skill, as does training and inborn ability.",Fans are turned off when they perceive players to be cheating.,divergent
"Steroid use does not affect the rules governing game dynamics and is therefore not cheating. It only changes an individual player's level of skill, as does training and inborn ability.",Any competition must have rules to keep it structured. Saying one chemical is legal and another is not is no different than saying you must bounce the ball when you move or run in this specific direction to get points.,divergent
"Constant improvements in research, technology and medicine blur the lines surrounding what is 'natural', 'legal', 'unnatural' or 'illegal'.",Sports are about the 'natural' limits of the human body.,divergent
"Since all athletes will have access to the same steroids, it will still be necessary for athletes to work on their 'natural performance.'","When steroid use is legal, there will be a greater focus on developing better steroids for athletes instead of improving athletic performance naturally.",divergent
"New technology also provides athletes with an advantage, yet athletes still work to improve their 'natural' performance.","When steroid use is legal, there will be a greater focus on developing better steroids for athletes instead of improving athletic performance naturally.",divergent
Better technology has allowed athletes to beat older records. This hasn't undermined those records.,Legalising steroids will undermine existing 'natural' records.,divergent
"Even though illegal, most doping regimens are done under the supervision of a doctor.","Attempting to emulate the performance of athletes who are using steroids can be dangerous for 'normal' people who may either push themselves too hard trying to reach the standards of their sports heroes, or use steroids without appropriate medical supervision.",divergent
"Many other factors, like expensive technology, make it impossible for fans to achieve the same level of performance as athletes.","Many fans view athletes as something to aspire towards, and strive to emulate their fitness and skill. Steroid use makes these aspirations impossible to ever naturally achieve.",not divergent
"Steroids are only seen as ""against the spirit of competition"" because they are against the rules of most sports. If the rules were changed, steroid use would no longer be seen as ""against the spirit of competition.""",Steroid use goes against the spirit of competition.,not divergent
Better technology has allowed athletes to beat older records. This hasn't undermined those records.,Fast Suits have been banned in swimming because they are seen as reducing the spirit of the competition.,not divergent
